Name: CCTV16, URL: http://219.135.180.210:18888/hls/31/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV16, URL: http://47.76.64.222:15000/TVOD/1000000006000233001/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV16, URL: http://lt.hxtre.com:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV16, URL: http://123.182.60.29:9002/hls/31/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV16, URL: http://pan.taokee.vip:35455/itv/1000000006000233002.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV17, URL: https://api.olelive.com/dis/live/CCTV17HD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV17, URL: http://3501776.xyz:35455/itv/1000000005000265015.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV17, URL: http://219.135.180.210:18888/hls/24/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV17, URL: http://47.76.64.222:15000/TVOD/1000000005000056836/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV17, URL: http://lt.hxtre.com:35455/itv/1000000006000268004.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV17, URL: http://123.182.60.29:9002/hls/24/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV17, URL: http://pan.taokee.vip:35455/itv/1000000005000265015.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://219.135.180.210:18888/hls/5+/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://47.76.64.222:15000/TVOD/1000000001000020505/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://lt.hxtre.com:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV5+, URL: http://123.182.60.29:9002/hls/5+/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV5+, URL: http://pan.taokee.vip:35455/itv/1000000005000265016.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://3501776.xyz:35455/itv/1000000005000265025.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://183.94.1.118:8801/tsfile/live/0130_1.m3u8$订阅源, Date: None, Delay: 3074 ms, Speed: 0.04 M/s, Resolution: None
Name: 安徽卫视, URL: http://47.76.64.222:15000/TVOD/6000000001000009954/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: 安徽卫视, URL: http://lt.hxtre.com:35455/itv/1000000001000030159.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 安徽卫视, URL: http://pan.taokee.vip:35455/itv/1000000005000265025.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 浙江卫视, URL: http://3501776.xyz:35455/itv/1000000005000265031.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 浙江卫视, URL: http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源, Date: None, Delay: 201 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 浙江卫视, URL: http://183.94.1.118:8801/tsfile/live/0124_1.m3u8$订阅源, Date: None, Delay: 3074 ms, Speed: 0.04 M/s, Resolution: None
Name: 浙江卫视, URL: http://lt.hxtre.com:35455/itv/1000000001000014260.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 浙江卫视, URL: http://pan.taokee.vip:35455/itv/1000000005000265031.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 湖南卫视, URL: http://3501776.xyz:35455/itv/1000000005000265024.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 湖南卫视, URL: http://116.9.204.242:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 208 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 湖南卫视, URL: http://47.76.64.222:15000/TVOD/5000000010000030452/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: 湖南卫视, URL: http://lt.hxtre.com:35455/itv/1000000005000265024.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 湖南卫视, URL: http://pan.taokee.vip:35455/itv/1000000005000265024.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 东方卫视, URL: http://3501776.xyz:35455/itv/1000000005000265018.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 东方卫视, URL: http://183.94.1.118:8801/tsfile/live/0107_1.m3u8$订阅源, Date: None, Delay: 3074 ms, Speed: 0.04 M/s, Resolution: None
Name: 东方卫视, URL: http://47.76.64.222:15000/TVOD/5000000010000032246/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: 东方卫视, URL: http://lt.hxtre.com:35455/itv/1000000005000265018.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 东方卫视, URL: http://pan.taokee.vip:35455/itv/1000000005000265018.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 江苏卫视, URL: http://3501776.xyz:35455/itv/1000000005000265030.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 江苏卫视, URL: http://47.76.64.222:15000/TVOD/6000000001000014861/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: 江苏卫视, URL: http://lt.hxtre.com:35455/itv/1000000005000265030.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 江苏卫视, URL: http://pan.taokee.vip:35455/itv/1000000005000265030.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 北京卫视, URL: http://3501776.xyz:35455/itv/1000000005000265027.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: 北京卫视, URL: http://116.9.204.242:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 208 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 北京卫视, URL: http://47.76.64.222:15000/TVOD/6000000001000020451/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
